arm_id,week,testing_week_type,training_week_type
takeda2012a_con,3,No Testing,Non-Training Control
takeda2012a_con,4,No Testing,Non-Training Control
takeda2012a_con,5,No Testing,Non-Training Control
takeda2012a_con,6,No Testing,Non-Training Control
takeda2012a_con,7,No Testing,Non-Training Control
takeda2012a_con,8,No Testing,Non-Training Control
takeda2012a_con,9,No Testing,Non-Training Control
takeda2012a_con,10,No Testing,Non-Training Control
takeda2012a_con,11,No Testing,Non-Training Control
takeda2012a_con,12,No Testing,Non-Training Control
takeda2012a_con,13,No Testing,Non-Training Control
takeda2012a_con,14,Post-Intervention,No Training
delacroix2015a_hl,-1,Pre-Baseline,No Training
delacroix2015a_hl,0,Baseline,No Training
delacroix2015a_hl,1,No Testing,Training
delacroix2015a_hl,2,No Testing,Training
delacroix2015a_hl,3,No Testing,Training
delacroix2015a_hl,4,No Testing,Training
delacroix2015a_hl,5,No Testing,Training
delacroix2015a_hl,6,No Testing,Training
delacroix2015a_hl,7,No Testing,Training
delacroix2015a_hl,8,Mid-Intervention,Training
delacroix2015a_hl,9,No Testing,Training
delacroix2015a_hl,10,No Testing,Training
delacroix2015a_hl,11,No Testing,Training
delacroix2015a_hl,12,No Testing,Training
delacroix2015a_hl,13,No Testing,Training
delacroix2015a_hl,14,No Testing,Training
delacroix2015a_hl,15,No Testing,Training
delacroix2015a_hl,16,Post-Intervention,No Training
delacroix2015a_ll,-1,Pre-Baseline,No Training
delacroix2015a_ll,0,Baseline,No Training
delacroix2015a_ll,1,No Testing,Training
delacroix2015a_ll,2,No Testing,Training
delacroix2015a_ll,3,No Testing,Training
delacroix2015a_ll,4,No Testing,Training
delacroix2015a_ll,5,No Testing,Training
delacroix2015a_ll,6,No Testing,Training
delacroix2015a_ll,7,No Testing,Training
delacroix2015a_ll,8,Mid-Intervention,Training
delacroix2015a_ll,9,No Testing,Training
delacroix2015a_ll,10,No Testing,Training
delacroix2015a_ll,11,No Testing,Training
delacroix2015a_ll,12,No Testing,Training
delacroix2015a_ll,13,No Testing,Training
delacroix2015a_ll,14,No Testing,Training
delacroix2015a_ll,15,No Testing,Training
delacroix2015a_ll,16,Post-Intervention,No Training
delacroix2015a_con,-1,Pre-Baseline,No Training
delacroix2015a_con,0,Baseline,No Training
delacroix2015a_con,1,No Testing,Non-Training Control
delacroix2015a_con,2,No Testing,Non-Training Control
delacroix2015a_con,3,No Testing,Non-Training Control
delacroix2015a_con,4,No Testing,Non-Training Control
delacroix2015a_con,5,No Testing,Non-Training Control
delacroix2015a_con,6,No Testing,Non-Training Control
delacroix2015a_con,7,No Testing,Non-Training Control
delacroix2015a_con,8,Mid-Intervention,Non-Training Control
delacroix2015a_con,9,No Testing,Non-Training Control
delacroix2015a_con,10,No Testing,Non-Training Control
delacroix2015a_con,11,No Testing,Non-Training Control
delacroix2015a_con,12,No Testing,Non-Training Control
delacroix2015a_con,13,No Testing,Non-Training Control
delacroix2015a_con,14,No Testing,Non-Training Control
delacroix2015a_con,15,No Testing,Non-Training Control
delacroix2015a_con,16,Post-Intervention,No Training
varga2020a_1set,-4,Pre-Baseline,No Training
varga2020a_1set,-3,No Testing,Standardized Training
varga2020a_1set,-2,No Testing,Standardized Training
varga2020a_1set,-1,No Testing,Standardized Training
varga2020a_1set,0,Baseline,No Training
varga2020a_1set,1,No Testing,Training
varga2020a_1set,2,No Testing,Training
varga2020a_1set,3,No Testing,Training
varga2020a_1set,4,No Testing,Training
varga2020a_1set,5,No Testing,Training
varga2020a_1set,6,No Testing,Training
varga2020a_1set,7,No Testing,Reduced Training
varga2020a_1set,8,No Testing,Training
varga2020a_1set,9,Post-Intervention,No Training
varga2020a_3set,-4,Pre-Baseline,No Training
varga2020a_3set,-3,No Testing,Standardized Training
varga2020a_3set,-2,No Testing,Standardized Training
varga2020a_3set,-1,No Testing,Standardized Training
varga2020a_3set,0,Baseline,No Training
varga2020a_3set,1,No Testing,Training
varga2020a_3set,2,No Testing,Training
varga2020a_3set,3,No Testing,Training
varga2020a_3set,4,No Testing,Training
varga2020a_3set,5,No Testing,Training
varga2020a_3set,6,No Testing,Training
varga2020a_3set,7,No Testing,Reduced Training
varga2020a_3set,8,No Testing,Training
varga2020a_3set,9,Post-Intervention,No Training
varga2020a_5set,-4,Pre-Baseline,No Training
varga2020a_5set,-3,No Testing,Standardized Training
varga2020a_5set,-2,No Testing,Standardized Training
varga2020a_5set,-1,No Testing,Standardized Training
varga2020a_5set,0,Baseline,No Training
varga2020a_5set,1,No Testing,Training
varga2020a_5set,2,No Testing,Training
varga2020a_5set,3,No Testing,Training
varga2020a_5set,4,No Testing,Training
varga2020a_5set,5,No Testing,Training
varga2020a_5set,6,No Testing,Training
varga2020a_5set,7,No Testing,Reduced Training
varga2020a_5set,8,No Testing,Training
varga2020a_5set,9,Post-Intervention,No Training
varga2020a_con,-4,Pre-Baseline,No Training
varga2020a_con,-3,No Testing,Standardized Training
varga2020a_con,-2,No Testing,Standardized Training
varga2020a_con,-1,No Testing,Standardized Training
varga2020a_con,0,Baseline,No Training
varga2020a_con,1,No Testing,Non-Training Control
varga2020a_con,2,No Testing,Non-Training Control
varga2020a_con,3,No Testing,Non-Training Control
varga2020a_con,4,No Testing,Non-Training Control
varga2020a_con,5,No Testing,Non-Training Control
varga2020a_con,6,No Testing,Non-Training Control
varga2020a_con,7,No Testing,Non-Training Control
varga2020a_con,8,No Testing,Non-Training Control
varga2020a_con,9,Post-Intervention,No Training
delacroix2021a_hl,-4,Pre-Baseline,No Training
delacroix2021a_hl,-3,No Testing,Standardized Training
delacroix2021a_hl,-2,No Testing,Standardized Training
delacroix2021a_hl,-1,No Testing,Standardized Training
delacroix2021a_hl,0,Baseline,No Training
delacroix2021a_hl,1,No Testing,Training
delacroix2021a_hl,2,No Testing,Training
delacroix2021a_hl,3,No Testing,Training
delacroix2021a_hl,4,No Testing,Training
delacroix2021a_hl,5,No Testing,Training
delacroix2021a_hl,6,No Testing,Training
delacroix2021a_hl,7,No Testing,Training
delacroix2021a_hl,8,No Testing,Training
delacroix2021a_hl,9,No Testing,Training
delacroix2021a_hl,10,No Testing,Training
delacroix2021a_hl,11,Post-Intervention,No Training
delacroix2021a_ll,-4,Pre-Baseline,No Training
delacroix2021a_ll,-3,No Testing,Standardized Training
delacroix2021a_ll,-2,No Testing,Standardized Training
delacroix2021a_ll,-1,No Testing,Standardized Training
delacroix2021a_ll,0,Baseline,No Training
delacroix2021a_ll,1,No Testing,Training
delacroix2021a_ll,2,No Testing,Training
delacroix2021a_ll,3,No Testing,Training
delacroix2021a_ll,4,No Testing,Training
delacroix2021a_ll,5,No Testing,Training
delacroix2021a_ll,6,No Testing,Training
delacroix2021a_ll,7,No Testing,Training
delacroix2021a_ll,8,No Testing,Training
delacroix2021a_ll,9,No Testing,Training
delacroix2021a_ll,10,No Testing,Training
delacroix2021a_ll,11,Post-Intervention,No Training
uribe2005a_f1,0,Baseline,No Training
uribe2005a_f1,1,No Testing,Training
uribe2005a_f1,2,No Testing,Training
uribe2005a_f1,3,No Testing,Training
uribe2005a_f1,4,No Testing,Training
uribe2005a_f1,5,No Testing,Training
uribe2005a_f1,6,No Testing,Training
uribe2005a_f1,7,No Testing,Training
uribe2005a_f1,8,No Testing,Training
uribe2005a_f1,9,Post-Intervention,No Training
uribe2005a_f3,0,Baseline,No Training
uribe2005a_f3,1,No Testing,Training
uribe2005a_f3,2,No Testing,Training
uribe2005a_f3,3,No Testing,Training
uribe2005a_f3,4,No Testing,Training
uribe2005a_f3,5,No Testing,Training
uribe2005a_f3,6,No Testing,Training
uribe2005a_f3,7,No Testing,Training
uribe2005a_f3,8,No Testing,Training
uribe2005a_f3,9,Post-Intervention,No Training
takeda2007a_2set,-1,Pre-Baseline,No Training
takeda2007a_2set,0,Baseline,No Training
takeda2007a_2set,1,No Testing,Training
takeda2007a_2set,2,No Testing,Training
takeda2007a_2set,3,No Testing,Training
takeda2007a_2set,4,No Testing,Training
takeda2007a_2set,5,No Testing,Training
takeda2007a_2set,6,No Testing,Training
takeda2007a_2set,7,No Testing,Training
takeda2007a_2set,8,No Testing,Training
takeda2007a_2set,9,No Testing,Training
takeda2007a_2set,10,No Testing,Training
takeda2007a_2set,11,No Testing,Training
takeda2007a_2set,12,No Testing,Training
takeda2007a_2set,13,No Testing,Training
takeda2007a_2set,14,No Testing,Training
takeda2007a_2set,15,No Testing,Training
takeda2007a_2set,16,Post-Intervention,No Training
takeda2007a_5set,-1,Pre-Baseline,No Training
takeda2007a_5set,0,Baseline,No Training
takeda2007a_5set,1,No Testing,Training
takeda2007a_5set,2,No Testing,Training
takeda2007a_5set,3,No Testing,Training
takeda2007a_5set,4,No Testing,Training
takeda2007a_5set,5,No Testing,Training
takeda2007a_5set,6,No Testing,Training
takeda2007a_5set,7,No Testing,Training
takeda2007a_5set,8,No Testing,Training
takeda2007a_5set,9,No Testing,Training
takeda2007a_5set,10,No Testing,Training
takeda2007a_5set,11,No Testing,Training
takeda2007a_5set,12,No Testing,Training
takeda2007a_5set,13,No Testing,Training
takeda2007a_5set,14,No Testing,Training
takeda2007a_5set,15,No Testing,Training
takeda2007a_5set,16,Post-Intervention,No Training
takeda2007a_con,-1,Pre-Baseline,No Training
takeda2007a_con,0,Baseline,No Training
takeda2007a_con,1,No Testing,Non-Training Control
takeda2007a_con,2,No Testing,Non-Training Control
takeda2007a_con,3,No Testing,Non-Training Control
takeda2007a_con,4,No Testing,Non-Training Control
takeda2007a_con,5,No Testing,Non-Training Control
takeda2007a_con,6,No Testing,Non-Training Control
takeda2007a_con,7,No Testing,Non-Training Control
takeda2007a_con,8,No Testing,Non-Training Control
takeda2007a_con,9,No Testing,Non-Training Control
takeda2007a_con,10,No Testing,Non-Training Control
takeda2007a_con,11,No Testing,Non-Training Control
takeda2007a_con,12,No Testing,Non-Training Control
takeda2007a_con,13,No Testing,Non-Training Control
takeda2007a_con,14,No Testing,Non-Training Control
takeda2007a_con,15,No Testing,Non-Training Control
takeda2007a_con,16,Post-Intervention,No Training
haugen2001a_f1,-1,Pre-Baseline,No Training
haugen2001a_f1,0,Baseline,No Training
haugen2001a_f1,1,No Testing,Training
haugen2001a_f1,2,No Testing,Training
haugen2001a_f1,3,No Testing,Training
haugen2001a_f1,4,No Testing,Training
haugen2001a_f1,5,No Testing,Training
haugen2001a_f1,6,No Testing,Training
haugen2001a_f1,7,No Testing,Training
haugen2001a_f1,8,No Testing,Training
haugen2001a_f1,9,No Testing,Training
haugen2001a_f1,10,No Testing,Training
haugen2001a_f1,11,No Testing,Training
haugen2001a_f1,12,Post-Intervention,No Training
haugen2001a_f3,-1,Pre-Baseline,No Training
haugen2001a_f3,0,Baseline,No Training
haugen2001a_f3,1,No Testing,Training
haugen2001a_f3,2,No Testing,Training
haugen2001a_f3,3,No Testing,Training
haugen2001a_f3,4,No Testing,Training
haugen2001a_f3,5,No Testing,Training
haugen2001a_f3,6,No Testing,Training
haugen2001a_f3,7,No Testing,Training
haugen2001a_f3,8,No Testing,Training
haugen2001a_f3,9,No Testing,Training
haugen2001a_f3,10,No Testing,Training
haugen2001a_f3,11,No Testing,Training
haugen2001a_f3,12,Post-Intervention,No Training
haugen2001b_1set,0,Baseline,No Training
haugen2001b_1set,1,No Testing,Training
haugen2001b_1set,2,No Testing,Training
haugen2001b_1set,3,No Testing,Training
haugen2001b_1set,4,Mid-Intervention,Training
haugen2001b_1set,5,No Testing,Training
haugen2001b_1set,6,No Testing,Training
haugen2001b_1set,7,No Testing,Training
haugen2001b_1set,8,Post-Intervention,No Training
haugen2001b_3set,0,Baseline,No Training
haugen2001b_3set,1,No Testing,Training
haugen2001b_3set,2,No Testing,Training
haugen2001b_3set,3,No Testing,Training
haugen2001b_3set,4,Mid-Intervention,Training
haugen2001b_3set,5,No Testing,Training
haugen2001b_3set,6,No Testing,Training
haugen2001b_3set,7,No Testing,Training
haugen2001b_3set,8,Post-Intervention,No Training
haugen2001b_5set,0,Baseline,No Training
haugen2001b_5set,1,No Testing,Training
haugen2001b_5set,2,No Testing,Training
haugen2001b_5set,3,No Testing,Training
haugen2001b_5set,4,Mid-Intervention,Training
haugen2001b_5set,5,No Testing,Training
haugen2001b_5set,6,No Testing,Training
haugen2001b_5set,7,No Testing,Training
haugen2001b_5set,8,Post-Intervention,No Training
yilmaz2005a_f1,-1,Pre-Baseline,No Training
yilmaz2005a_f1,0,Baseline,No Training
yilmaz2005a_f1,1,No Testing,Training
yilmaz2005a_f1,2,No Testing,Training
yilmaz2005a_f1,3,No Testing,Training
yilmaz2005a_f1,4,No Testing,Training
yilmaz2005a_f1,5,No Testing,Training
yilmaz2005a_f1,6,No Testing,Training
yilmaz2005a_f1,7,No Testing,No Training
yilmaz2005a_f1,8,No Testing,Training
yilmaz2005a_f1,9,No Testing,Training
yilmaz2005a_f1,10,No Testing,Reduced Training
yilmaz2005a_f1,11,No Testing,Training
yilmaz2005a_f1,12,Post-Intervention,No Training
yilmaz2005a_f3,-1,Pre-Baseline,No Training
yilmaz2005a_f3,0,Baseline,No Training
yilmaz2005a_f3,1,No Testing,Training
yilmaz2005a_f3,2,No Testing,Training
yilmaz2005a_f3,3,No Testing,Training
yilmaz2005a_f3,4,No Testing,Training
yilmaz2005a_f3,5,No Testing,Training
yilmaz2005a_f3,6,No Testing,Training
yilmaz2005a_f3,7,No Testing,No Training
yilmaz2005a_f3,8,No Testing,Training
yilmaz2005a_f3,9,No Testing,Training
yilmaz2005a_f3,10,No Testing,Reduced Training
yilmaz2005a_f3,11,No Testing,Training
yilmaz2005a_f3,12,Post-Intervention,No Training
ekberg2024a_hl,0,Baseline,No Training
ekberg2024a_hl,1,No Testing,Training
ekberg2024a_hl,2,No Testing,Training
ekberg2024a_hl,3,No Testing,Training
ekberg2024a_hl,4,No Testing,Training
ekberg2024a_hl,5,No Testing,Training
ekberg2024a_hl,6,No Testing,Training
ekberg2024a_hl,7,No Testing,Training
ekberg2024a_hl,8,No Testing,No Training
ekberg2024a_hl,9,No Testing,Training
ekberg2024a_hl,10,No Testing,Training
ekberg2024a_hl,11,No Testing,Training
ekberg2024a_hl,12,No Testing,Training
ekberg2024a_hl,13,No Testing,Training
ekberg2024a_hl,14,Post-Intervention,No Training
ekberg2024a_ll,0,Baseline,No Training
ekberg2024a_ll,1,No Testing,Training
ekberg2024a_ll,2,No Testing,Training
ekberg2024a_ll,3,No Testing,Training
ekberg2024a_ll,4,No Testing,Training
ekberg2024a_ll,5,No Testing,Training
ekberg2024a_ll,6,No Testing,Training
ekberg2024a_ll,7,No Testing,Training
ekberg2024a_ll,8,No Testing,No Training
ekberg2024a_ll,9,No Testing,Training
ekberg2024a_ll,10,No Testing,Training
ekberg2024a_ll,11,No Testing,Training
ekberg2024a_ll,12,No Testing,Training
ekberg2024a_ll,13,No Testing,Training
ekberg2024a_ll,14,Post-Intervention,No Training
ekberg2024a_con,0,Baseline,No Training
ekberg2024a_con,1,No Testing,Non-Training Control
ekberg2024a_con,2,No Testing,Non-Training Control
ekberg2024a_con,3,No Testing,Non-Training Control
ekberg2024a_con,4,No Testing,Non-Training Control
ekberg2024a_con,5,No Testing,Non-Training Control
ekberg2024a_con,6,No Testing,Non-Training Control
ekberg2024a_con,7,No Testing,Non-Training Control
ekberg2024a_con,8,No Testing,Non-Training Control
ekberg2024a_con,9,No Testing,Non-Training Control
ekberg2024a_con,10,No Testing,Non-Training Control
ekberg2024a_con,11,No Testing,Non-Training Control
ekberg2024a_con,12,No Testing,Non-Training Control
ekberg2024a_con,13,No Testing,Non-Training Control
ekberg2024a_con,14,Post-Intervention,No Training
petrakis2007a_2set,-4,Pre-Baseline,No Training
petrakis2007a_2set,-3,No Testing,Standardized Training
petrakis2007a_2set,-2,No Testing,Standardized Training
petrakis2007a_2set,-1,No Testing,Standardized Training
petrakis2007a_2set,0,Baseline,No Training
petrakis2007a_2set,1,No Testing,Training
petrakis2007a_2set,2,No Testing,Training
petrakis2007a_2set,3,No Testing,Training
petrakis2007a_2set,4,Mid-Intervention,Training
petrakis2007a_2set,5,No Testing,No Training
petrakis2007a_2set,6,No Testing,Training
petrakis2007a_2set,7,No Testing,Reduced Training
petrakis2007a_2set,8,No Testing,Training
petrakis2007a_2set,9,Post-Intervention,No Training
petrakis2007a_5set,-4,Pre-Baseline,No Training
petrakis2007a_5set,-3,No Testing,Standardized Training
petrakis2007a_5set,-2,No Testing,Standardized Training
petrakis2007a_5set,-1,No Testing,Standardized Training
petrakis2007a_5set,0,Baseline,No Training
petrakis2007a_5set,1,No Testing,Training
petrakis2007a_5set,2,No Testing,Training
petrakis2007a_5set,3,No Testing,Training
petrakis2007a_5set,4,Mid-Intervention,Training
petrakis2007a_5set,5,No Testing,No Training
petrakis2007a_5set,6,No Testing,Training
petrakis2007a_5set,7,No Testing,Reduced Training
petrakis2007a_5set,8,No Testing,Training
petrakis2007a_5set,9,Post-Intervention,No Training
ekberg2010a_hl,0,Baseline,No Training
ekberg2010a_hl,1,No Testing,Training
ekberg2010a_hl,2,No Testing,Training
ekberg2010a_hl,3,No Testing,Training
ekberg2010a_hl,4,No Testing,Training
ekberg2010a_hl,5,No Testing,Training
ekberg2010a_hl,6,No Testing,Training
ekberg2010a_hl,7,No Testing,Training
ekberg2010a_hl,8,No Testing,Training
ekberg2010a_hl,9,No Testing,Training
ekberg2010a_hl,10,No Testing,Training
ekberg2010a_hl,11,Post-Intervention,No Training
ekberg2010a_ll,0,Baseline,No Training
ekberg2010a_ll,1,No Testing,Training
ekberg2010a_ll,2,No Testing,Training
ekberg2010a_ll,3,No Testing,Training
ekberg2010a_ll,4,No Testing,Training
ekberg2010a_ll,5,No Testing,Training
ekberg2010a_ll,6,No Testing,Training
ekberg2010a_ll,7,No Testing,Training
ekberg2010a_ll,8,No Testing,Training
ekberg2010a_ll,9,No Testing,Training
ekberg2010a_ll,10,No Testing,Training
ekberg2010a_ll,11,Post-Intervention,No Training
laurent2024a_fail,0,Baseline,No Training
laurent2024a_fail,1,No Testing,Training
laurent2024a_fail,2,No Testing,Training
laurent2024a_fail,3,No Testing,Training
laurent2024a_fail,4,No Testing,Training
laurent2024a_fail,5,Mid-Intervention,Training
laurent2024a_fail,6,No Testing,Training
laurent2024a_fail,7,No Testing,Training
laurent2024a_fail,8,No Testing,Training
laurent2024a_fail,9,No Testing,Training
laurent2024a_fail,10,No Testing,Training
laurent2024a_fail,11,Post-Intervention,No Training
laurent2024a_rir3,0,Baseline,No Training
laurent2024a_rir3,1,No Testing,Training
laurent2024a_rir3,2,No Testing,Training
laurent2024a_rir3,3,No Testing,Training
laurent2024a_rir3,4,No Testing,Training
laurent2024a_rir3,5,Mid-Intervention,Training
laurent2024a_rir3,6,No Testing,Training
laurent2024a_rir3,7,No Testing,Training
laurent2024a_rir3,8,No Testing,Training
laurent2024a_rir3,9,No Testing,Training
laurent2024a_rir3,10,No Testing,Training
laurent2024a_rir3,11,Post-Intervention,No Training
yilmaz1999a_2set,-1,Pre-Baseline,No Training
yilmaz1999a_2set,0,Baseline,No Training
yilmaz1999a_2set,1,No Testing,Training
yilmaz1999a_2set,2,No Testing,Training
yilmaz1999a_2set,3,No Testing,Training
yilmaz1999a_2set,4,No Testing,Training
yilmaz1999a_2set,5,No Testing,Training
yilmaz1999a_2set,6,No Testing,Training
yilmaz1999a_2set,7,No Testing,Training
yilmaz1999a_2set,8,No Testing,Training
yilmaz1999a_2set,9,No Testing,Training
yilmaz1999a_2set,10,No Testing,Training
yilmaz1999a_2set,11,No Testing,Training
yilmaz1999a_2set,12,No Testing,Training
yilmaz1999a_2set,13,Post-Intervention,No Training
yilmaz1999a_5set,-1,Pre-Baseline,No Training
yilmaz1999a_5set,0,Baseline,No Training
yilmaz1999a_5set,1,No Testing,Training
yilmaz1999a_5set,2,No Testing,Training
yilmaz1999a_5set,3,No Testing,Training
yilmaz1999a_5set,4,No Testing,Training
yilmaz1999a_5set,5,No Testing,Training
yilmaz1999a_5set,6,No Testing,Training
yilmaz1999a_5set,7,No Testing,Training
yilmaz1999a_5set,8,No Testing,Training
yilmaz1999a_5set,9,No Testing,Training
yilmaz1999a_5set,10,No Testing,Training
yilmaz1999a_5set,11,No Testing,Training
yilmaz1999a_5set,12,No Testing,Training
yilmaz1999a_5set,13,Post-Intervention,No Training
rosales2018a_fail,0,Baseline,No Training
rosales2018a_fail,1,No Testing,Training
rosales2018a_fail,2,No Testing,Training
rosales2018a_fail,3,No Testing,Training
rosales2018a_fail,4,No Testing,Training
rosales2018a_fail,5,No Testing,Training
rosales2018a_fail,6,No Testing,Training
rosales2018a_fail,7,No Testing,Training
rosales2018a_fail,8,No Testing,Training
rosales2018a_fail,9,No Testing,Training
rosales2018a_fail,10,No Testing,Training
rosales2018a_fail,11,Post-Intervention,No Training
rosales2018a_rir1,0,Baseline,No Training
rosales2018a_rir1,1,No Testing,Training
rosales2018a_rir1,2,No Testing,Training
rosales2018a_rir1,3,No Testing,Training
rosales2018a_rir1,4,No Testing,Training
rosales2018a_rir1,5,No Testing,Training
rosales2018a_rir1,6,No Testing,Training
rosales2018a_rir1,7,No Testing,Training
rosales2018a_rir1,8,No Testing,Training
rosales2018a_rir1,9,No Testing,Training
rosales2018a_rir1,10,No Testing,Training
rosales2018a_rir1,11,Post-Intervention,No Training
rosales2018a_rir3,0,Baseline,No Training
rosales2018a_rir3,1,No Testing,Training
rosales2018a_rir3,2,No Testing,Training
rosales2018a_rir3,3,No Testing,Training
rosales2018a_rir3,4,No Testing,Training
rosales2018a_rir3,5,No Testing,Training
rosales2018a_rir3,6,No Testing,Training
rosales2018a_rir3,7,No Testing,Training
rosales2018a_rir3,8,No Testing,Training
rosales2018a_rir3,9,No Testing,Training
rosales2018a_rir3,10,No Testing,Training
rosales2018a_rir3,11,Post-Intervention,No Training
rosales2018a_con,0,Baseline,No Training
rosales2018a_con,1,No Testing,Non-Training Control
rosales2018a_con,2,No Testing,Non-Training Control
rosales2018a_con,3,No Testing,Non-Training Control
rosales2018a_con,4,No Testing,Non-Training Control
rosales2018a_con,5,No Testing,Non-Training Control
rosales2018a_con,6,No Testing,Non-Training Control
rosales2018a_con,7,No Testing,Non-Training Control
rosales2018a_con,8,No Testing,Non-Training Control
rosales2018a_con,9,No Testing,Non-Training Control
rosales2018a_con,10,No Testing,Non-Training Control
rosales2018a_con,11,Post-Intervention,No Training
lindqvist2010a_hl,0,Baseline,No Training
lindqvist2010a_hl,1,No Testing,Training
lindqvist2010a_hl,2,No Testing,Training
lindqvist2010a_hl,3,No Testing,Training
lindqvist2010a_hl,4,No Testing,Training
lindqvist2010a_hl,5,Mid-Intervention,Training
lindqvist2010a_hl,6,No Testing,Training
lindqvist2010a_hl,7,No Testing,Training
lindqvist2010a_hl,8,No Testing,Training
lindqvist2010a_hl,9,No Testing,Training
lindqvist2010a_hl,10,No Testing,Training
lindqvist2010a_hl,11,Post-Intervention,No Training
lindqvist2010a_ll,0,Baseline,No Training
lindqvist2010a_ll,1,No Testing,Training
lindqvist2010a_ll,2,No Testing,Training
lindqvist2010a_ll,3,No Testing,Training
lindqvist2010a_ll,4,No Testing,Training
lindqvist2010a_ll,5,Mid-Intervention,Training
lindqvist2010a_ll,6,No Testing,Training
lindqvist2010a_ll,7,No Testing,Training
lindqvist2010a_ll,8,No Testing,Training
lindqvist2010a_ll,9,No Testing,Training
lindqvist2010a_ll,10,No Testing,Training
lindqvist2010a_ll,11,Post-Intervention,No Training
lindqvist2010a_con,0,Baseline,No Training
lindqvist2010a_con,1,No Testing,Non-Training Control
lindqvist2010a_con,2,No Testing,Non-Training Control
lindqvist2010a_con,3,No Testing,Non-Training Control
lindqvist2010a_con,4,No Testing,Non-Training Control
lindqvist2010a_con,5,Mid-Intervention,Non-Training Control
lindqvist2010a_con,6,No Testing,Non-Training Control
lindqvist2010a_con,7,No Testing,Non-Training Control
lindqvist2010a_con,8,No Testing,Non-Training Control
lindqvist2010a_con,9,No Testing,Non-Training Control
lindqvist2010a_con,10,No Testing,Non-Training Control
lindqvist2010a_con,11,Post-Intervention,No Training
quinlan2011a_2set,-1,Pre-Baseline,No Training
quinlan2011a_2set,0,Baseline,No Training
quinlan2011a_2set,1,No Testing,Training
quinlan2011a_2set,2,No Testing,Training
quinlan2011a_2set,3,No Testing,Training
quinlan2011a_2set,4,No Testing,Training
quinlan2011a_2set,5,No Testing,Training
quinlan2011a_2set,6,No Testing,Training
quinlan2011a_2set,7,No Testing,Training
quinlan2011a_2set,8,No Testing,Training
quinlan2011a_2set,9,No Testing,Training
quinlan2011a_2set,10,No Testing,Training
quinlan2011a_2set,11,No Testing,Training
quinlan2011a_2set,12,No Testing,Training
quinlan2011a_2set,13,No Testing,Training
quinlan2011a_2set,14,No Testing,Training
quinlan2011a_2set,15,Post-Intervention,No Training
quinlan2011a_5set,-1,Pre-Baseline,No Training
quinlan2011a_5set,0,Baseline,No Training
quinlan2011a_5set,1,No Testing,Training
quinlan2011a_5set,2,No Testing,Training
quinlan2011a_5set,3,No Testing,Training
quinlan2011a_5set,4,No Testing,Training
quinlan2011a_5set,5,No Testing,Training
quinlan2011a_5set,6,No Testing,Training
quinlan2011a_5set,7,No Testing,Training
quinlan2011a_5set,8,No Testing,Training
quinlan2011a_5set,9,No Testing,Training
quinlan2011a_5set,10,No Testing,Training
quinlan2011a_5set,11,No Testing,Training
quinlan2011a_5set,12,No Testing,Training
quinlan2011a_5set,13,No Testing,Training
quinlan2011a_5set,14,No Testing,Training
quinlan2011a_5set,15,Post-Intervention,No Training
quinlan2011a_con,-1,Pre-Baseline,No Training
quinlan2011a_con,0,Baseline,No Training
quinlan2011a_con,1,No Testing,Non-Training Control
quinlan2011a_con,2,No Testing,Non-Training Control
quinlan2011a_con,3,No Testing,Non-Training Control
quinlan2011a_con,4,No Testing,Non-Training Control
quinlan2011a_con,5,No Testing,Non-Training Control
quinlan2011a_con,6,No Testing,Non-Training Control
quinlan2011a_con,7,No Testing,Non-Training Control
quinlan2011a_con,8,No Testing,Non-Training Control
quinlan2011a_con,9,No Testing,Non-Training Control
quinlan2011a_con,10,No Testing,Non-Training Control
quinlan2011a_con,11,No Testing,Non-Training Control
quinlan2011a_con,12,No Testing,Non-Training Control
quinlan2011a_con,13,No Testing,Non-Training Control
quinlan2011a_con,14,No Testing,Non-Training Control
quinlan2011a_con,15,Post-Intervention,No Training
delacroix2018a_1set,-1,Pre-Baseline,No Training
delacroix2018a_1set,0,Baseline,No Training
delacroix2018a_1set,1,No Testing,Training
delacroix2018a_1set,2,No Testing,Training
delacroix2018a_1set,3,No Testing,Training
delacroix2018a_1set,4,No Testing,Training
delacroix2018a_1set,5,No Testing,Training
delacroix2018a_1set,6,No Testing,No Training
delacroix2018a_1set,7,No Testing,Training
delacroix2018a_1set,8,No Testing,Training
delacroix2018a_1set,9,No Testing,Training
delacroix2018a_1set,10,No Testing,Training
delacroix2018a_1set,11,Post-Intervention,No Training
delacroix2018a_3set,-1,Pre-Baseline,No Training
delacroix2018a_3set,0,Baseline,No Training
delacroix2018a_3set,1,No Testing,Training
delacroix2018a_3set,2,No Testing,Training
delacroix2018a_3set,3,No Testing,Training
delacroix2018a_3set,4,No Testing,Training
delacroix2018a_3set,5,No Testing,Training
delacroix2018a_3set,6,No Testing,No Training
delacroix2018a_3set,7,No Testing,Training
delacroix2018a_3set,8,No Testing,Training
delacroix2018a_3set,9,No Testing,Training
delacroix2018a_3set,10,No Testing,Training
delacroix2018a_3set,11,Post-Intervention,No Training
delacroix2018a_5set,-1,Pre-Baseline,No Training
delacroix2018a_5set,0,Baseline,No Training
delacroix2018a_5set,1,No Testing,Training
delacroix2018a_5set,2,No Testing,Training
delacroix2018a_5set,3,No Testing,Training
delacroix2018a_5set,4,No Testing,Training
